Mælk,Absorbance 1,Absorbance 2,dilution_grade,Gennemsnittet,mg protein,protein,Forventet,%afvigelse
Soja,0.667,0.567,10.0,0.617,0.5413707880252001,5.413707880252002,3.7,31.65497507730747
Sødmælk,0.4,0.567,10.0,0.4835,0.42423464507323216,4.242346450732322,3.4,19.855673281632022
Mandel,0.3121,0.412,10.0,0.36205,0.31767146483715347,3.1767146483715347,1.1,65.37303089014029
Mini,0.1222,0.565,10.0,0.34359999999999996,0.30148298665390394,3.0148298665390394,3.5,-16.092786490069017
