Mælk,protein,Ostemasse
Soja,5.413707880252002,0.6666666666666666
Sødmælk,4.242346450732322,0.5714285714285714
Mandel,3.1767146483715347,0.5142857142857142
Mini,3.0148298665390394,0.8
